"dunsnumber","company","tradename","address","city","state","zipcode","hqduns","hqcompany","hqtradename","hqaddress","hqcity","hqstate","hqzipcode","subsidiary","related","kids","cbsa","fipscounty","citycode","latitude","longitude","levelcode","estcat","emp19","empc19","emphere","empherec","sizecat","sicchange","industry","industrygroup","fips19","fipschange","yearstart","lastyear","dunsnumber2","DunsNumber","NAICS19"
"110268590","WINSHIP INDUSTRIES INC                            ","                                                  ","405 MASON RANCH RD                                ","GEORGETOWN                    ","TX","78628","110268590","WINSHIP INDUSTRIES INC                            ","                                                  ","405 MASON RANCH RD                                ","GEORGETOWN                    ","TX","78628","N",0,0,"12420","48491","483293",30.644,97.7125,"D","Standalone",2,"2",2,"2","01_LT5","No ","Manufacturing industries, nec","Miscellaneous Manufactures","48491","No ","2017","2019",110268590,110268590,339999
"027020102","REPUBLIC NAT DISTRG CO LLC                        ","BG DISTRIBUTION PARTNERS                          ","1001 E PEARL ST                                   ","ODESSA                        ","TX","79761","027020102","REPUBLIC NAT DISTRG CO LLC                        ","BG DISTRIBUTION PARTNERS                          ","1001 E PEARL ST                                   ","ODESSA                        ","TX","79761","N",0,0,"36220","48135","486113",31.8477,102.3572,"D","Standalone",NA,"",7,"3","02_5to9","No ","Beer (alcoholic beverage)","Beverages","","No ","2010","2017",27020102,27020102,NA
"004257361","RENDA ENVIRONMENTAL INC                           ","                                                  ","2501 GREENBELT RD                                 ","FORT WORTH                    ","TX","76118","877472290","RENDA ENVIRONMENTAL INC                           ","                                                  ","2501 GREENBELT RD                                 ","FORT WORTH                    ","TX","76118","N",2,0,"19100","48439","483053",32.7885,97.1401,"D","Branch",NA,"",45,"0","2_20to49","No ","Recycling, waste materials","Sanitary Services","","No ","    ","2009",4257361,4257361,NA
"051672535","WHIMSICAL WAREHOUSE                               ","                                                  ","1412 SW 62ND AVE                                  ","AMARILLO                      ","TX","79118","051672535","WHIMSICAL WAREHOUSE                               ","                                                  ","1412 SW 62ND AVE                                  ","AMARILLO                      ","TX","79118","N",0,0,"11100","48381","480309",35.1464,101.8514,"D","Standalone",2,"3",2,"3","01_LT5","No ","Miscellaneous retail stores, nec","Retail Stores, NEC","48381","No ","2013","2019",51672535,51672535,453998
"015232735","MOMS LITTLE HELPER HANDYMAN                       ","                                                  ","1611 E PEYTON ST                                  ","SHERMAN                       ","TX","75090","015232735","MOMS LITTLE HELPER HANDYMAN                       ","                                                  ","1611 E PEYTON ST                                  ","SHERMAN                       ","TX","75090","N",0,0,"43300","48181","487745",33.6612,96.5972,"D","Standalone",2,"2",2,"2","01_LT5","No ","Handyman service","Miscellaneous Personal Services","48181","No ","2009","2019",15232735,15232735,236118
"030144169","SEWELL ADVISORY SERVICES LLC                      ","                                                  ","6545 TERRACE DR                                   ","THE COLONY                    ","TX","75056","030144169","SEWELL ADVISORY SERVICES LLC                      ","                                                  ","6545 TERRACE DR                                   ","THE COLONY                    ","TX","75056","N",0,0,"19100","48121","488358",33.0944,96.9151,"D","Standalone",1,"0",1,"0","01_LT5","Yes","Servicing, water wells","Water Well Drilling","48121","No ","2010","2019",30144169,30144169,237110
"044183792","ARBED MUESCHKE LP                                 ","                                                  ","14106 MUESCHKE RD                                 ","CYPRESS                       ","TX","77433","044183792","ARBED MUESCHKE LP                                 ","                                                  ","14106 MUESCHKE RD                                 ","CYPRESS                       ","TX","77433","N",0,0,"26420","48201","482110",29.9795,95.7167,"D","Standalone",2,"3",2,"3","01_LT5","Yes","Business services, nec","Miscellaneous Business Services","48201","No ","2015","2019",44183792,44183792,561499
"004384722","WRIGHT MEDICAL TECHNOLOGY INC                     ","                                                  ","105 HALMAR CV                                     ","GEORGETOWN                    ","TX","78628","004384722","WRIGHT MEDICAL TECHNOLOGY INC                     ","                                                  ","105 HALMAR CV                                     ","GEORGETOWN                    ","TX","78628","N",0,0,"12420","48491","483293",30.6838,97.6723,"D","Standalone",NA,"",3,"0","01_LT5","No ","Health and allied services, nec","Health and Allied Services, NEC","","No ","2012","2017",4384722,4384722,NA
"834314564","TRINITY HOME AND COMMUNITY CTR                    ","                                                  ","2600 WSTHLLOW DR APT 1011                         ","HOUSTON                       ","TX","77082","834314564","TRINITY HOME AND COMMUNITY CTR                    ","                                                  ","2600 WSTHLLOW DR APT 1011                         ","HOUSTON                       ","TX","77082","N",0,0,"26420","48201","483917",29.7336,95.6366,"D","Standalone",NA,"",4,"3","01_LT5","No ","Community center","Individual and Family Services","","No ","2016","2018",834314564,834314564,NA
"023468777","MT PLEASANT CUSTOM HOMES LLC                      ","                                                  ","5508 LINMORE LN                                   ","PLANO                         ","TX","75093","023468777","MT PLEASANT CUSTOM HOMES LLC                      ","                                                  ","5508 LINMORE LN                                   ","PLANO                         ","TX","75093","N",0,0,"19100","48085","486621",33.048,96.8103,"D","Standalone",NA,"",1,"3","01_LT5","No ","Single-family housing construction","Residential Building Construction","","No ","2010","2012",23468777,23468777,NA
