"gtfs_route_id","otp_numerator","otp_denominator","Reliability","Reliability_Category"
"1",353.701219512195,467.993902439024,0.755781683626272,"Moderate 0.7-0.8"
"111",642.853658536585,786.40243902439,0.817461425137629,"High above 0.8"
"116",133.317073170732,175.103658536585,0.761360866385765,"Moderate 0.7-0.8"
"117",157.743902439024,208.682926829268,0.755902290790089,"Moderate 0.7-0.8"
"15",246.408536585366,291.865853658537,0.844252705469435,"High above 0.8"
"22",339.25,435.439024390244,0.779098750910211,"Moderate 0.7-0.8"
"23",433.207317073171,547.841463414634,0.79075306635799,"Moderate 0.7-0.8"
"28",417.012195121951,550.109756097561,0.758052716752754,"Moderate 0.7-0.8"
"32",324.951219512195,391.030487804878,0.831012490448939,"High above 0.8"
"39",406.817073170732,532.890243902439,0.763416252832002,"Moderate 0.7-0.8"
"57",339.384146341463,449.890243902439,0.754370984793039,"Moderate 0.7-0.8"
"66",349.707317073171,463.170731707317,0.755028962611901,"Moderate 0.7-0.8"
"71",252.75,315.835365853659,0.800258702241443,"High above 0.8"
"93",86.2256097560976,128.170731707317,0.672740247383444,"Low 0.6-0.7"
